measure,beat,timestamp,img
1,1,1.12,1
1,2,2.28,2
1,3,3.00,3
1,4,3.78,4
2,1,4.48,5
2,2,5.22,6
2,3,5.88,7
2,4,6.54,8
3,1,7.27,9
3,2,7.96,10
3,3,8.69,11
3,4,9.33,12
4,1,10.11,13
4,2,10.95,14
4,3,11.59,15
4,4,12.25,16
5,1,12.90,17
5,2,13.64,18
5,3,14.26,19
5,4,15.07,20
6,1,15.99,21
6,2,16.87,22
6,3,17.58,23
6,4,18.36,24
7,1,19.14,25
7,2,19.76,26
7,3,20.43,27
7,4,21.13,28
8,1,21.81,29
8,2,22.55,30
8,3,23.21,31
8,4,23.90,32
9,1,24.52,33
9,2,25.24,34
9,3,25.94,35
9,4,26.88,36
10,1,27.77,37
10,2,28.67,38
10,3,29.36,39
10,4,30.01,40
11,1,30.69,41
11,2,31.36,42
11,3,31.99,43
11,4,32.69,44
12,1,33.46,45
12,2,34.23,46
12,3,34.89,47
12,4,35.69,48
13,1,36.43,49
13,2,37.09,50
13,3,37.79,51
13,4,38.48,52
14,1,39.09,53
14,2,39.87,54
14,3,40.49,55
14,4,41.13,56
15,1,41.70,57
15,2,42.36,58
15,3,43.01,59
15,4,43.82,60
16,1,44.59,61
16,2,45.35,62
16,3,46.03,63
16,4,46.69,64
17,1,47.40,65
17,2,48.12,66
17,3,48.94,67
17,4,49.89,68
18,1,50.70,69
18,2,51.68,70
18,3,52.43,71
18,4,53.22,72
19,1,54.21,73
19,2,55.12,74
19,3,55.86,75
19,4,56.59,76
20,1,57.28,77
20,2,58.00,78
20,3,58.73,79
20,4,59.58,80
21,1,60.61,81
21,2,61.46,82
21,3,62.32,83
21,4,63.05,84
22,1,63.86,85
22,2,64.62,86
22,3,65.32,87
22,4,66.06,88
23,1,66.86,89
23,2,67.61,90
23,3,68.32,91
23,4,68.94,92
24,1,69.64,93
24,2,70.32,94
24,3,71.00,95
24,4,71.70,96
25,1,72.46,97
25,2,73.15,98
25,3,73.86,99
25,4,74.51,100
26,1,75.23,101
26,2,76.09,102
26,3,76.67,103
26,4,77.28,104
27,1,78.01,105
27,2,78.82,106
27,3,79.42,107
27,4,80.12,108
28,1,81.22,109
28,2,81.99,110
28,3,82.59,111
28,4,83.40,112
29,1,84.65,113
29,2,85.35,114
29,3,85.95,115
29,4,86.85,116
30,1,87.65,117
30,2,88.28,118
30,3,88.85,119
30,4,89.57,120
31,1,90.51,121
31,2,91.32,122
31,3,92.00,123
31,4,92.69,124
32,1,93.40,125
32,2,94.24,126
32,3,94.89,127
32,4,95.64,128
33,1,96.37,129
33,2,97.29,130
33,3,98.08,131
33,4,98.72,132
34,1,99.54,133
34,2,100.24,134
34,3,100.98,135
34,4,101.59,136
35,1,102.35,137
35,2,103.02,138
35,3,103.94,139
35,4,104.81,140
36,1,105.52,141
36,2,106.62,142
36,3,107.26,143
36,4,108.01,144
37,1,109.02,145
37,2,109.98,146
37,3,110.69,147
37,4,111.49,148
38,1,112.19,149
38,2,112.93,150
38,3,113.60,151
38,4,114.32,152
39,1,115.05,153
39,2,115.70,154
39,3,116.40,155
39,4,117.27,156
40,1,118.02,157
40,2,118.79,158
40,3,119.53,159
40,4,120.22,160
41,1,120.77,161
41,2,121.69,162
41,3,122.38,163
41,4,123.11,164
42,1,124.10,165
42,2,124.95,166
42,3,125.64,167
42,4,126.39,168
43,1,127.08,169
43,2,127.78,170
43,3,128.43,171
43,4,129.10,172
44,1,129.82,173
44,2,130.36,174
44,3,131.09,175
44,4,131.82,176
45,1,132.36,177
45,2,132.99,178
45,3,133.74,179
45,4,134.60,180
46,1,135.70,181
46,2,136.51,182
46,3,137.23,183
46,4,137.87,184
47,1,138.55,185
47,2,139.24,186
47,3,139.93,187
47,4,140.61,188
48,1,141.25,189
48,2,141.98,190
48,3,142.66,191
48,4,143.47,192
49,1,144.10,193
49,2,144.86,194
49,3,145.43,195
49,4,146.05,196
50,1,146.72,197
50,2,147.36,198
50,3,147.98,199
50,4,148.59,200
51,1,149.26,201
51,2,149.92,202
51,3,150.50,203
51,4,151.24,204
52,1,152.02,205
52,2,152.81,206
52,3,153.52,207
52,4,154.23,208
53,1,154.92,209
53,2,155.63,210
53,3,156.47,211
53,4,157.52,212
54,1,158.26,213
54,2,159.18,214
54,3,159.76,215
54,4,160.48,216
55,1,161.53,217
55,2,162.36,218
55,3,163.31,219
55,4,164.16,220
56,1,164.96,221
56,2,165.68,222
56,3,166.49,223
56,4,167.30,224
57,1,168.42,225
57,2,169.19,226
57,3,170.19,227
57,4,171.16,228
58,1,172.03,229
58,2,172.82,230
58,3,173.68,231
58,4,174.55,232
59,1,175.44,233
59,2,176.10,234
59,3,176.88,235
59,4,177.73,236
60,1,178.44,237
60,2,179.32,238
60,3,180.05,239
60,4,180.85,240
61,1,181.95,241
61,2,183.12,242
61,3,184.31,243
61,4,184.99,244
62,1,185.93,245
62,2,187.04,246
62,3,187.77,247
62,4,188.66,248
63,1,189.68,249
63,2,190.83,250
63,3,192.00,251
63,4,193.06,252
64,1,193.73,253
64,2,194.66,254
64,3,195.36,255
64,4,196.00,256
65,1,197.23,257
65,2,198.38,258
65,3,199.23,259
65,4,200.18,260
66,1,201.09,261
66,2,202.03,262
66,3,202.89,263
66,4,203.87,264
67,1,204.89,265
67,2,205.97,266
67,3,206.83,267
67,4,207.85,268
68,1,209.18,269
68,2,210.50,270
68,3,211.11,271
68,4,212.69,272
69,1,213.81,273